Name_lang,Description_lang,Pos[0],Pos[1],ContinentID,AreaName_lang
Anvilmar,,-6134.28,383.763,0,Coldridge Valley
Brill,,2249.85,278.414,0,Brill
Darkshire,,-10564.7,-1170.65,0,Duskwood
Deathknell,,1879.83,1588.2,0,Deathknell
Dun Algaz,,-4191.02,-2373.14,0,Dun Algaz
Dun Modr,,-2610.26,-2350.56,0,Dun Modr
Goldshire,,-9480.09,63.5218,0,Goldshire
Ironforge,,-4798.776,-1107.4966,0,Dun Morogh
Kharanos,,-5585.95,-482.127,0,Kharanos
Lakeshire,,-9227.69,-2201.47,0,Redridge Mountains
Menethil Harbor,,-3672.7,-828.455,0,Wetlands
Moonbrook,,-11017.1,1510.17,0,Moonbrook
Northshire Abbey,,-8896.16,-179.328,0,Northshire Abbey
Raven Hill,,-10752.5,310.433,0,Raven Hill
Sentinel Hill,,-10503.7,1027.76,0,Westfall
Stormwind City,,-8678.426,729.6007,0,Elwynn Forest
The Sepulcher,,508.073,1619.02,0,Silverpine Forest
Undercity,,1594.3385,240.2882,0,Tirisfal Glades
Thelsamar,,-5349.27,-2959.91,0,Loch Modan
Alliance,,-448.982,-1028.22,37,
Horde,,-669.134,-483.289,37,
Southshore,,-803.031,-531.727,0,Hillsbrad Foothills
Tarren Mill,,-27.0354,-900.562,0,Hillsbrad Foothills
Refuge Pointe,,-1251.05,-2526.81,0,Refuge Pointe
Hammerfall,,-991.57,-3528.34,0,Arathi Highlands
Kargath,,-6676.42,-2186.68,0,Badlands
Angor Fortress,,-6392.65,-3158.0,0,Angor Fortress
Bloodhoof Village,,-2323.92,-394.981,1,Bloodhoof Village
Thunder Bluff,,-1205.41,29.4214,1,Mulgore
Camp Narache,,-2906.49,-253.607,1,Camp Narache
Razor Hill,,312.659,-4745.52,1,Razor Hill
The Den,,-604.098,-4202.92,1,The Den
Orgrimmar,,1381.77,-4371.16,1,Durotar
Sen'jin Village,,-819.492,-4918.24,1,Sen'jin Village
The Crossroads,,-455.9,-2652.15,1,Northern Barrens
Aldrassil,,10462.7,805.993,1,Shadowglen
Dolanaar,,9787.99,949.897,1,7th Legion Base Camp
Darnassus,,9951.75,2254.5,1,Teldrassil
Ratchet,,-951.364,-3680.07,1,Ratchet
Booty Bay,,-14383.3,487.139,0,Booty Bay
Grom'gol Base Camp,,-12378.4,185.734,0,Northern Stranglethorn
Astranaar,,2720.43,-382.391,1,Ashenvale
Stonetalon Peak,,2658.78,1449.71,1,Stonetalon Peak
Thalanaar,,-4510.03,-779.474,1,Thalanaar
Freewind Post,,-5454.07,-2445.5,1,Freewind Post
Mirror Lake,,-9389.26,458.427,0,Mirror Lake
Slaughter Hollow,,861.216,-558.217,0,Crushridge Hold
Drywhisker Gorge,,-1014.22,-3827.39,0,Hammerfall
Sun Rock Retreat,,936.308,910.974,1,Stonetalon Mountains
Temple of Zin-Malor,,3549.15,-5359.12,1,Ruins of Eldarath 
Hetaera's Clutch,,3556.64,-6232.79,1,Bay of Storms
Uther's Tomb,,969.176,-1825.52,0,Sorrow Hill
Scholomance,,1262.19,-2579.41,0,Caer Darrow
Whitereach Post,,-4917.35,-1375.5,1,Camp E'thok
Stonard,,-10443.7,-3277.49,0,Swamp of Sorrows
Gadgetzan,,-7139.15,-3752.11,1,Tanaris
Camp Mojache,,-4394.98,215.611,1,Mulgore
Theramore Isle,,-3680.17,-4388.51,1,Dustwallow Marsh
Aerie Peak,,234.85,-2127.76,0,The Hinterlands
Everlook,,6723.46,-4662.5,1,Winterspring
Shadowprey Village,,-1657.85,3097.92,1,Desolace
Feathermoon Stronghold,,-4517.382,2240.9324,1,Feralas
Auberdine,,6439.33,411.951,1,Darkshore
Nijel's Point,,202.521,1308.24,1,Desolace
Aldrassil,,10479.6,812.281,1,Shadowglen
Shadowthread Cave,,10756.2,921.301,1,Shadowglen
Fel Rock,,10050.6,1031.2,1,Dolanaar
Ban'ethil Barrow Den,,9864.17,1557.41,1,Ban'ethil Hollow
The Cleft,,10316.4,1200.62,1,Wellspring Lake
Razorwind Canyon,,636.963,-4534.04,1,Razorwind Canyon
Tor'kren Farm,,726.297,-4242.41,1,Thunder Ridge
Steelgrill's Depot,,-5488.04,-658.67,0,Kharanos
Ironband's Compound,,-5858.7,-2004.1,0,Helm's Bed Lake
Echo Ridge Mine,,-8676.57,-119.634,0,Northshire Abbey
Maclure Vineyards,,-9948.39,69.1568,0,Fargodeep Mine
Stonefield Farm,,-9901.14,378.19,0,Fargodeep Mine
Northshire Vineyards,,-9067.35,-333.965,0,Northshire Abbey
Tower of Ilgalar,,-9281.33,-3318.81,0,Galardell Valley
Render's Rock,,-8674.12,-2290.05,0,Render's Camp
Spirit Den,,-13751.4,-18.3165,0,Mistvale Valley
Rethban Caverns,,-8970.76,-2002.7,0,Rethban Caverns
Boulderfist Outpost,,-1194.05,-2119.16,0,Boulder'gor
Grosh'gok Compound,,-11112.2,-2335.63,0,The Vice
Stagalbog Cave,,-10803.2,-3739.01,0,Stagalbog
Temple of Atal'Hakkar,,-10429.9,-3828.52,0,Pool of Tears
The Tower of Arathor,,-1778.21,-1513.16,0,Stromgarde Keep
Wildhammer Keep,,316.946,-2119.3,0,Aerie Peak
Night Web's Hollow,,2046.11,1829.45,0,Deathknell
Terrorweb Tunnel,,3035.33,-2773.9,0,Terrordale
Browman Mill,,2483.98,-5183.79,0,Eastwall Tower
Uldaman,,-6092.01,-3179.35,0,The Maker's Terrace
Dustbelch Grotto,,-7320.59,-2265.09,0,Camp Cagg
Westbrook Garrison,,-9615.71,667.327,0,Forest's Edge
Jasperlode Mine,,-9184.5,-605.891,0,Tower of Azora
Janeiro's Point,,-14179.6,718.0,0,Booty Bay
Algaz Station,,-4817.79,-2666.7,0,North Gate Pass
Grim Batol,,-4055.0,-3448.54,0,Dragonmaw Gates
Venture Co. Mine,,-1501.49,-1036.19,1,The Golden Plains
Blackwood Den,,4619.42,25.6126,1,The Master's Glaive
Wildbend River,,5056.04,220.755,1,Grove of the Ancients
Cliffspring Falls,,6870.57,-662.396,1,Cliffspring River
Fray Island,,-1668.51,-4329.2,1,Fray Island
Wailing Caverns,,-837.968,-2037.0,1,Lushwater Oasis
Shady Rest Inn,,-3723.63,-2535.18,1,The Quagmire
Darkmist Cavern,,-2829.79,-2722.81,1,Brackenwall Village
North Point Tower,,-2884.79,-3429.99,1,Brackenwall Village
Bluefen,,-2685.32,-3087.58,1,Brackenwall Village
Lost Point,,-3925.5,-2862.15,1,The Quagmire
