Name_lang,Description_lang,Pos[0],Pos[1],ContinentID,MapName_lang,AreaName_lang,Origin
Anvilmar,,-6134.28,383.763,0,Eastern Kingdoms,Coldridge Valley,AreaPOI (Points of Interest table)
Brill,,2249.85,278.414,0,Eastern Kingdoms,Brill,AreaPOI (Points of Interest table)
Darkshire,,-10564.7,-1170.65,0,Eastern Kingdoms,Duskwood,AreaPOI (Points of Interest table)
Deathknell,,1879.83,1588.2,0,Eastern Kingdoms,Deathknell,AreaPOI (Points of Interest table)
Dun Algaz,,-4191.02,-2373.14,0,Eastern Kingdoms,Dun Algaz,AreaPOI (Points of Interest table)
Dun Modr,,-2610.26,-2350.56,0,Eastern Kingdoms,Dun Modr,AreaPOI (Points of Interest table)
Goldshire,,-9480.09,63.5218,0,Eastern Kingdoms,Goldshire,AreaPOI (Points of Interest table)
Ironforge,,-4798.776,-1107.4966,0,Eastern Kingdoms,Dun Morogh,AreaPOI (Points of Interest table)
Kharanos,,-5585.95,-482.127,0,Eastern Kingdoms,Kharanos,AreaPOI (Points of Interest table)
Lakeshire,,-9227.69,-2201.47,0,Eastern Kingdoms,Redridge Mountains,AreaPOI (Points of Interest table)
Menethil Harbor,,-3672.7,-828.455,0,Eastern Kingdoms,Wetlands,AreaPOI (Points of Interest table)
Moonbrook,,-11017.1,1510.17,0,Eastern Kingdoms,Moonbrook,AreaPOI (Points of Interest table)
Northshire Abbey,,-8896.16,-179.328,0,Eastern Kingdoms,Northshire Abbey,AreaPOI (Points of Interest table)
Raven Hill,,-10752.5,310.433,0,Eastern Kingdoms,Raven Hill,AreaPOI (Points of Interest table)
Sentinel Hill,,-10503.7,1027.76,0,Eastern Kingdoms,Westfall,AreaPOI (Points of Interest table)
Stormwind City,,-8678.426,729.6007,0,Eastern Kingdoms,Elwynn Forest,AreaPOI (Points of Interest table)
The Sepulcher,,508.073,1619.02,0,Eastern Kingdoms,Silverpine Forest,AreaPOI (Points of Interest table)
Undercity,,1594.3385,240.2882,0,Eastern Kingdoms,Tirisfal Glades,AreaPOI (Points of Interest table)
Thelsamar,,-5349.27,-2959.91,0,Eastern Kingdoms,Loch Modan,AreaPOI (Points of Interest table)
Alliance,,-448.982,-1028.22,37,Azshara Crater,,AreaPOI (Points of Interest table)
Horde,,-669.134,-483.289,37,Azshara Crater,,AreaPOI (Points of Interest table)
Southshore,,-803.031,-531.727,0,Eastern Kingdoms,Hillsbrad Foothills,AreaPOI (Points of Interest table)
Tarren Mill,,-27.0354,-900.562,0,Eastern Kingdoms,Hillsbrad Foothills,AreaPOI (Points of Interest table)
Refuge Pointe,,-1251.05,-2526.81,0,Eastern Kingdoms,Refuge Pointe,AreaPOI (Points of Interest table)
Hammerfall,,-991.57,-3528.34,0,Eastern Kingdoms,Arathi Highlands,AreaPOI (Points of Interest table)
Kargath,,-6676.42,-2186.68,0,Eastern Kingdoms,Badlands,AreaPOI (Points of Interest table)
Angor Fortress,,-6392.65,-3158.0,0,Eastern Kingdoms,Angor Fortress,AreaPOI (Points of Interest table)
Bloodhoof Village,,-2323.92,-394.981,1,Kalimdor,Bloodhoof Village,AreaPOI (Points of Interest table)
Thunder Bluff,,-1205.41,29.4214,1,Kalimdor,Mulgore,AreaPOI (Points of Interest table)
Camp Narache,,-2906.49,-253.607,1,Kalimdor,Camp Narache,AreaPOI (Points of Interest table)
Razor Hill,,312.659,-4745.52,1,Kalimdor,Razor Hill,AreaPOI (Points of Interest table)
The Den,,-604.098,-4202.92,1,Kalimdor,The Den,AreaPOI (Points of Interest table)
Orgrimmar,,1381.77,-4371.16,1,Kalimdor,Durotar,AreaPOI (Points of Interest table)
Sen'jin Village,,-819.492,-4918.24,1,Kalimdor,Sen'jin Village,AreaPOI (Points of Interest table)
The Crossroads,,-455.9,-2652.15,1,Kalimdor,Northern Barrens,AreaPOI (Points of Interest table)
Aldrassil,,10462.7,805.993,1,Kalimdor,Shadowglen,AreaPOI (Points of Interest table)
Dolanaar,,9787.99,949.897,1,Kalimdor,7th Legion Base Camp,AreaPOI (Points of Interest table)
Darnassus,,9951.75,2254.5,1,Kalimdor,Teldrassil,AreaPOI (Points of Interest table)
Ratchet,,-951.364,-3680.07,1,Kalimdor,Ratchet,AreaPOI (Points of Interest table)
Booty Bay,,-14383.3,487.139,0,Eastern Kingdoms,Booty Bay,AreaPOI (Points of Interest table)
Grom'gol Base Camp,,-12378.4,185.734,0,Eastern Kingdoms,Northern Stranglethorn,AreaPOI (Points of Interest table)
Astranaar,,2720.43,-382.391,1,Kalimdor,Ashenvale,AreaPOI (Points of Interest table)
Stonetalon Peak,,2658.78,1449.71,1,Kalimdor,Stonetalon Peak,AreaPOI (Points of Interest table)
Thalanaar,,-4510.03,-779.474,1,Kalimdor,Thalanaar,AreaPOI (Points of Interest table)
Freewind Post,,-5454.07,-2445.5,1,Kalimdor,Freewind Post,AreaPOI (Points of Interest table)
Mirror Lake,,-9389.26,458.427,0,Eastern Kingdoms,Mirror Lake,AreaPOI (Points of Interest table)
Slaughter Hollow,,861.216,-558.217,0,Eastern Kingdoms,Crushridge Hold,AreaPOI (Points of Interest table)
Drywhisker Gorge,,-1014.22,-3827.39,0,Eastern Kingdoms,Hammerfall,AreaPOI (Points of Interest table)
Sun Rock Retreat,,936.308,910.974,1,Kalimdor,Stonetalon Mountains,AreaPOI (Points of Interest table)
Temple of Zin-Malor,,3549.15,-5359.12,1,Kalimdor,Ruins of Eldarath ,AreaPOI (Points of Interest table)
Hetaera's Clutch,,3556.64,-6232.79,1,Kalimdor,Bay of Storms,AreaPOI (Points of Interest table)
Uther's Tomb,,969.176,-1825.52,0,Eastern Kingdoms,Sorrow Hill,AreaPOI (Points of Interest table)
Scholomance,,1262.19,-2579.41,0,Eastern Kingdoms,Caer Darrow,AreaPOI (Points of Interest table)
Whitereach Post,,-4917.35,-1375.5,1,Kalimdor,Camp E'thok,AreaPOI (Points of Interest table)
Stonard,,-10443.7,-3277.49,0,Eastern Kingdoms,Swamp of Sorrows,AreaPOI (Points of Interest table)
Gadgetzan,,-7139.15,-3752.11,1,Kalimdor,Tanaris,AreaPOI (Points of Interest table)
Camp Mojache,,-4394.98,215.611,1,Kalimdor,Mulgore,AreaPOI (Points of Interest table)
Theramore Isle,,-3680.17,-4388.51,1,Kalimdor,Dustwallow Marsh,AreaPOI (Points of Interest table)
Aerie Peak,,234.85,-2127.76,0,Eastern Kingdoms,The Hinterlands,AreaPOI (Points of Interest table)
Everlook,,6723.46,-4662.5,1,Kalimdor,Winterspring,AreaPOI (Points of Interest table)
Shadowprey Village,,-1657.85,3097.92,1,Kalimdor,Desolace,AreaPOI (Points of Interest table)
Feathermoon Stronghold,,-4517.382,2240.9324,1,Kalimdor,Feralas,AreaPOI (Points of Interest table)
Auberdine,,6439.33,411.951,1,Kalimdor,Darkshore,AreaPOI (Points of Interest table)
Nijel's Point,,202.521,1308.24,1,Kalimdor,Desolace,AreaPOI (Points of Interest table)
Aldrassil,,10479.6,812.281,1,Kalimdor,Shadowglen,AreaPOI (Points of Interest table)
Shadowthread Cave,,10756.2,921.301,1,Kalimdor,Shadowglen,AreaPOI (Points of Interest table)
Fel Rock,,10050.6,1031.2,1,Kalimdor,Dolanaar,AreaPOI (Points of Interest table)
Ban'ethil Barrow Den,,9864.17,1557.41,1,Kalimdor,Ban'ethil Hollow,AreaPOI (Points of Interest table)
The Cleft,,10316.4,1200.62,1,Kalimdor,Wellspring Lake,AreaPOI (Points of Interest table)
Razorwind Canyon,,636.963,-4534.04,1,Kalimdor,Razorwind Canyon,AreaPOI (Points of Interest table)
Tor'kren Farm,,726.297,-4242.41,1,Kalimdor,Thunder Ridge,AreaPOI (Points of Interest table)
Steelgrill's Depot,,-5488.04,-658.67,0,Eastern Kingdoms,Kharanos,AreaPOI (Points of Interest table)
Ironband's Compound,,-5858.7,-2004.1,0,Eastern Kingdoms,Helm's Bed Lake,AreaPOI (Points of Interest table)
Echo Ridge Mine,,-8676.57,-119.634,0,Eastern Kingdoms,Northshire Abbey,AreaPOI (Points of Interest table)
Maclure Vineyards,,-9948.39,69.1568,0,Eastern Kingdoms,Fargodeep Mine,AreaPOI (Points of Interest table)
Stonefield Farm,,-9901.14,378.19,0,Eastern Kingdoms,Fargodeep Mine,AreaPOI (Points of Interest table)
Northshire Vineyards,,-9067.35,-333.965,0,Eastern Kingdoms,Northshire Abbey,AreaPOI (Points of Interest table)
Tower of Ilgalar,,-9281.33,-3318.81,0,Eastern Kingdoms,Galardell Valley,AreaPOI (Points of Interest table)
Render's Rock,,-8674.12,-2290.05,0,Eastern Kingdoms,Render's Camp,AreaPOI (Points of Interest table)
Spirit Den,,-13751.4,-18.3165,0,Eastern Kingdoms,Mistvale Valley,AreaPOI (Points of Interest table)
Rethban Caverns,,-8970.76,-2002.7,0,Eastern Kingdoms,Rethban Caverns,AreaPOI (Points of Interest table)
Boulderfist Outpost,,-1194.05,-2119.16,0,Eastern Kingdoms,Boulder'gor,AreaPOI (Points of Interest table)
Grosh'gok Compound,,-11112.2,-2335.63,0,Eastern Kingdoms,The Vice,AreaPOI (Points of Interest table)
Stagalbog Cave,,-10803.2,-3739.01,0,Eastern Kingdoms,Stagalbog,AreaPOI (Points of Interest table)
Temple of Atal'Hakkar,,-10429.9,-3828.52,0,Eastern Kingdoms,Pool of Tears,AreaPOI (Points of Interest table)
The Tower of Arathor,,-1778.21,-1513.16,0,Eastern Kingdoms,Stromgarde Keep,AreaPOI (Points of Interest table)
Wildhammer Keep,,316.946,-2119.3,0,Eastern Kingdoms,Aerie Peak,AreaPOI (Points of Interest table)
Night Web's Hollow,,2046.11,1829.45,0,Eastern Kingdoms,Deathknell,AreaPOI (Points of Interest table)
Terrorweb Tunnel,,3035.33,-2773.9,0,Eastern Kingdoms,Terrordale,AreaPOI (Points of Interest table)
Browman Mill,,2483.98,-5183.79,0,Eastern Kingdoms,Eastwall Tower,AreaPOI (Points of Interest table)
Uldaman,,-6092.01,-3179.35,0,Eastern Kingdoms,The Maker's Terrace,AreaPOI (Points of Interest table)
Dustbelch Grotto,,-7320.59,-2265.09,0,Eastern Kingdoms,Camp Cagg,AreaPOI (Points of Interest table)
Westbrook Garrison,,-9615.71,667.327,0,Eastern Kingdoms,Forest's Edge,AreaPOI (Points of Interest table)
Jasperlode Mine,,-9184.5,-605.891,0,Eastern Kingdoms,Tower of Azora,AreaPOI (Points of Interest table)
Janeiro's Point,,-14179.6,718.0,0,Eastern Kingdoms,Booty Bay,AreaPOI (Points of Interest table)
Algaz Station,,-4817.79,-2666.7,0,Eastern Kingdoms,North Gate Pass,AreaPOI (Points of Interest table)
Grim Batol,,-4055.0,-3448.54,0,Eastern Kingdoms,Dragonmaw Gates,AreaPOI (Points of Interest table)
Venture Co. Mine,,-1501.49,-1036.19,1,Kalimdor,The Golden Plains,AreaPOI (Points of Interest table)
Blackwood Den,,4619.42,25.6126,1,Kalimdor,The Master's Glaive,AreaPOI (Points of Interest table)
Wildbend River,,5056.04,220.755,1,Kalimdor,Grove of the Ancients,AreaPOI (Points of Interest table)
Cliffspring Falls,,6870.57,-662.396,1,Kalimdor,Cliffspring River,AreaPOI (Points of Interest table)
Fray Island,,-1668.51,-4329.2,1,Kalimdor,Fray Island,AreaPOI (Points of Interest table)
Wailing Caverns,,-837.968,-2037.0,1,Kalimdor,Lushwater Oasis,AreaPOI (Points of Interest table)
Shady Rest Inn,,-3723.63,-2535.18,1,Kalimdor,The Quagmire,AreaPOI (Points of Interest table)
Darkmist Cavern,,-2829.79,-2722.81,1,Kalimdor,Brackenwall Village,AreaPOI (Points of Interest table)
North Point Tower,,-2884.79,-3429.99,1,Kalimdor,Brackenwall Village,AreaPOI (Points of Interest table)
